service,year,patronage,baseline_2019,recovery_index,change_from_2019_pct,service_type,period
70,2019,3690048,3690048,100.0,0.0,Bus route,Pre-COVID baseline
NX1,2019,4998102,4998102,100.0,0.0,Bus route,Pre-COVID baseline
NX2,2019,2991020,2991020,100.0,0.0,Bus route,Pre-COVID baseline
train,2019,21887300,21887300,100.0,0.0,Rail network,Pre-COVID baseline
70,2020,2341495,3690048,63.45432362939453,-36.54567637060548,Bus route,COVID disruption
NX1,2020,3034946,4998102,60.72197005983472,-39.27802994016529,Bus route,COVID disruption
NX2,2020,1530705,2991020,51.176688888740294,-48.823311111259706,Bus route,COVID disruption
train,2020,11691700,21887300,53.417735399067034,-46.58226460093296,Rail network,COVID disruption
70,2021,2040343,3690048,55.29312897826804,-44.70687102173196,Bus route,COVID disruption
NX1,2021,2586483,4998102,51.749304035811996,-48.250695964188004,Bus route,COVID disruption
NX2,2021,1385379,2991020,46.31794504884621,-53.68205495115379,Bus route,COVID disruption
train,2021,8819400,21887300,40.294600064877805,-59.705399935122195,Rail network,COVID disruption
70,2022,2428138,3690048,65.80234186655566,-34.197658133444335,Bus route,Early recovery
NX1,2022,2674385,4998102,53.508011641219014,-46.49198835878099,Bus route,Early recovery
NX2,2022,1653796,2991020,55.29204084225449,-44.70795915774552,Bus route,Early recovery
train,2022,10397200,21887300,47.5033466896328,-52.4966533103672,Rail network,Early recovery
70,2023,3637401,3690048,98.57327059160205,-1.4267294083979396,Bus route,Recovery period
NX1,2023,3770829,4998102,75.44521900513435,-24.554780994865652,Bus route,Recovery period
NX2,2023,2419166,2991020,80.88097037131146,-19.11902962868854,Bus route,Recovery period
train,2023,12424775,21887300,56.7670521261188,-43.2329478738812,Rail network,Recovery period
70,2024,3657821,3690048,99.126650927034,-0.8733490729659885,Bus route,Recovery period
NX1,2024,4245781,4998102,84.94786621001332,-15.05213378998668,Bus route,Recovery period
NX2,2024,2651527,2991020,88.64959110938744,-11.350408890612567,Bus route,Recovery period
train,2024,14396930,21887300,65.77755136540368,-34.22244863459632,Rail network,Recovery period
